,GSM1354764,GSM1354765,GSM1354766,GSM1354767,GSM1354768,GSM1354769,GSM1354770,GSM1354771,GSM1354772,GSM1354773
AC109326.1,2.74832,2.9313414,3.1597981,3.3446527,3.4123173,8.820249,8.667204,8.685438,9.006653,8.927003
AC109439.2,5.409811,5.402673,5.907508,5.497263,5.423025,5.5558476,5.3715196,5.744466,5.3294735,4.6639657
AC109454.1,9.523674,9.39108,9.514402,9.53858,9.065044,9.627589,9.652678,9.660519,9.531304,9.469504
AC109454.3,6.8288336,5.593616,5.655671,5.4345784,5.5676565,5.1305323,5.025095,4.904303,5.561031,5.178983
AC109458.1,4.870228,4.1203003,4.509682,5.108488,4.0366244,5.2840056,3.7410972,5.1390676,5.0838633,4.78912
AC109464.1,5.8380976,5.7463646,5.444484,5.7621284,4.6332517,4.87924,4.846606,4.6422243,5.2986617,5.456771
AC109481.1,3.2026637,4.5081587,4.538399,5.2683635,2.4415307,7.082189,6.746608,6.7088532,7.2270894,7.278799
AC109638.1,4.4431376,2.9313414,4.4017315,5.4094477,4.8010902,5.9743505,4.348626,6.2694926,6.6343946,6.224664
AC110048.2,5.242082,5.558836,5.5775642,5.713958,5.4712753,6.019776,5.933043,6.0355754,6.6170435,6.597556
AC110079.1,10.393299,12.175871,10.542118,10.306253,10.44632,9.23232,9.733319,9.846457,9.514402,9.551369
AC110749.1,6.067495,6.1808004,5.4058495,6.0872817,5.6755543,7.937531,6.971902,7.6456275,7.951728,7.642777
AC110760.1,6.39285,7.038208,6.800166,6.8540955,6.963173,6.4041195,6.1104712,6.2605295,6.622199,6.289602
AC110771.1,6.4176006,6.725795,6.909114,6.5770664,6.5965304,6.986739,6.2178545,6.5770664,6.671289,6.2587185
AC110772.2,7.8522773,7.6406016,7.901401,8.106211,7.966402,7.613596,7.7019386,7.9458847,7.6524878,7.4606643
AC110774.1,5.719969,5.751692,5.8106947,5.34302,5.84568,6.3099513,4.7853603,5.6805787,6.2029977,6.008587
AC110794.1,5.7778587,5.378119,5.7380667,5.613411,5.1055913,5.534189,4.983962,5.269603,5.4034576,5.662617
AC110995.1,7.3680897,7.7286773,8.243265,8.35352,8.2537775,7.199716,7.567946,7.47026,7.205644,7.3330946
AC111170.1,6.1805434,6.5271964,6.937474,6.109678,6.573664,6.0258636,5.588719,5.6958795,5.994993,5.116079
AC111194.2,6.585161,5.9080334,6.1777625,6.2054386,6.398111,5.669454,5.2769184,5.8524866,6.0120144,5.370425
AC112176.1,6.209969,5.397417,5.5228457,4.9653015,6.8090854,4.740447,5.585987,4.843644,4.750252,6.0793247
AC112187.1,6.2934604,7.4095683,6.4588246,6.9765844,6.614139,8.738184,8.610159,8.081976,8.7618265,8.869782
AC112198.2,5.3066635,5.563492,5.0533075,5.8487797,5.417519,5.255884,5.079143,4.9871373,5.3164835,5.0756793
AC112200.2,6.9932384,7.1357584,7.465453,7.0616918,7.030883,6.7657557,6.732664,6.9199057,6.357182,6.0445685
